EventID	ArrivalGlobalIdx	ArrivalTime_s	X_mm	Y_mm	LocateConf	MaxX	MaxY	DetectConf	HitCount
81	12041756	4.013919	-155.792	182.368	0.676	0.664	0.689	0.965	2
82	12177672	4.059224	-170.149	184.506	0.650	0.648	0.652	0.989	6
83	12203024	4.067675	-47.654	19.856	0.800	0.790	0.810	0.992	4
84	12327073	4.109024	173.815	-144.795	0.809	0.772	0.847	0.987	8
85	12366297	4.122099	233.993	-215.970	0.734	0.739	0.729	0.991	8
86	12472051	4.157350	-107.832	79.729	0.922	0.925	0.919	0.994	9
87	12737394	4.245798	95.308	-104.472	0.874	0.875	0.874	0.992	9
88	12795068	4.265023	-94.391	0.000	0.833	0.850	0.815	0.992	9
89	12929634	4.309878	-62.011	32.991	0.746	0.765	0.726	0.970	4
90	12957461	4.319154	-162.818	182.368	0.628	0.632	0.624	0.988	7
91	13228122	4.409374	97.446	-111.804	0.875	0.868	0.883	0.992	9
92	13244408	4.414803	-157.930	179.619	0.710	0.792	0.628	0.989	2
93	13322463	4.440821	173.204	-146.628	0.693	0.591	0.795	0.989	6
94	13492229	4.497410	-88.282	-83.089	0.748	0.784	0.713	0.792	3
95	13653074	4.551025	84.311	-96.530	0.781	0.848	0.714	0.990	3
96	13669626	4.556542	-97.752	89.198	0.632	0.822	0.443	0.993	2
97	13676919	4.558973	-214.137	235.521	0.807	0.819	0.794	0.978	9
98	13733973	4.577991	-156.708	173.815	0.669	0.731	0.607	0.990	8
99	13741656	4.580552	-155.486	180.841	0.526	0.469	0.583	0.991	2
100	13824798	4.608266	-131.659	144.489	0.637	0.758	0.516	0.958	5
101	13921261	4.640420	36.046	-23.522	0.741	0.609	0.873	0.990	3
102	13943466	4.647822	125.855	-118.829	0.853	0.825	0.881	0.962	2
103	14021139	4.673713	116.691	-110.582	0.750	0.647	0.853	0.990	5
104	14385455	4.795152	-113.942	121.884	0.894	0.909	0.879	0.994	10
105	14536048	4.845349	-151.210	176.259	0.614	0.752	0.476	0.989	2
106	14553003	4.851001	-156.403	176.564	0.559	0.641	0.478	0.962	2
107	14556417	4.852139	-156.403	167.400	0.764	0.804	0.724	0.995	7
108	14621331	4.873777	-113.331	125.244	0.761	0.832	0.690	0.988	9
109	14661913	4.887304	-104.778	77.590	0.880	0.883	0.877	0.995	3
110	14716936	4.905645	-108.749	116.080	0.645	0.760	0.530	0.987	7
111	14814756	4.938252	-156.097	173.509	0.819	0.846	0.791	0.993	9
112	14908718	4.969573	-96.835	-92.864	0.654	0.681	0.627	0.939	3
