EventID	ArrivalGlobalIdx	ArrivalTime_s	X_mm	Y_mm	LocateConf	MaxX	MaxY	DetectConf	HitCount
457	129113282	43.037761	-35.435	-65.677	0.658	0.643	0.673	0.990	2
458	129120764	43.040255	-51.931	-45.210	0.653	0.683	0.624	0.978	5
459	129154274	43.051425	-161.901	178.091	0.624	0.694	0.554	0.986	3
460	129159879	43.053293	128.299	-123.717	0.894	0.888	0.901	0.983	7
461	129171869	43.057290	-165.567	181.146	0.636	0.638	0.633	0.990	6
462	129198786	43.066262	-165.261	224.523	0.728	0.785	0.671	0.995	9
463	129208848	43.069616	-95.613	-88.893	0.787	0.816	0.758	0.906	5
464	129241256	43.080419	-159.152	140.824	0.887	0.888	0.887	0.967	9
465	129264244	43.088081	-162.512	182.368	0.753	0.780	0.726	0.985	3
466	129287932	43.095977	-147.849	127.688	0.842	0.860	0.825	0.938	5
467	129293068	43.097689	-153.348	182.368	0.761	0.812	0.709	0.986	6
468	129369495	43.123165	-49.181	22.911	0.552	0.574	0.530	0.982	2
469	129430363	43.143454	-227.273	228.189	0.514	0.460	0.568	0.961	2
470	129447791	43.149264	84.005	-83.700	0.817	0.799	0.834	0.993	2
471	129509529	43.169843	129.216	-147.239	0.862	0.844	0.881	0.992	9
472	129528846	43.176282	-107.527	111.498	0.678	0.782	0.575	0.988	6
473	129557811	43.185937	-97.141	-93.170	0.661	0.675	0.647	0.985	4
474	129571283	43.190428	-157.625	178.397	0.610	0.626	0.594	0.993	7
475	129621682	43.207227	-75.758	-69.037	0.798	0.853	0.743	0.994	7
476	129650057	43.216686	-215.665	235.521	0.816	0.814	0.818	0.994	5
477	129655208	43.218403	-83.394	-77.896	0.640	0.854	0.427	0.958	2
478	129692950	43.230983	-160.985	173.815	0.784	0.782	0.787	0.983	7
479	129718989	43.239663	-96.835	-84.616	0.784	0.862	0.706	0.990	6
480	129871254	43.290418	-160.679	171.982	0.798	0.786	0.810	0.992	8
481	129898081	43.299360	-110.276	117.608	0.710	0.831	0.589	0.975	2
482	129902223	43.300741	-67.510	-63.844	0.632	0.677	0.587	0.966	3
483	129971492	43.323831	-161.290	178.091	0.646	0.668	0.624	0.993	2
484	129992100	43.330700	-93.781	-87.671	0.747	0.818	0.675	0.949	2
485	130000551	43.333517	-119.746	106.610	0.914	0.923	0.906	0.987	10
486	130019043	43.339681	-33.297	-41.850	0.856	0.831	0.881	0.954	9
487	130025113	43.341704	-104.778	111.498	0.791	0.863	0.720	0.993	3
488	130047554	43.349185	-106.305	113.025	0.570	0.665	0.475	0.988	3
489	130064027	43.354676	-82.478	-73.314	0.775	0.847	0.703	0.990	4
490	130088431	43.362810	-92.864	-84.616	0.794	0.827	0.761	0.982	6
491	130094567	43.364856	176.870	-155.181	0.796	0.764	0.829	0.989	4
492	130123484	43.374495	-214.137	233.688	0.823	0.832	0.814	0.993	8
493	130131925	43.377308	117.302	-114.553	0.871	0.849	0.893	0.993	6
494	130134350	43.378117	-157.319	177.480	0.718	0.786	0.651	0.993	7
495	130150147	43.383382	-164.345	171.982	0.790	0.797	0.784	0.994	8
496	130243956	43.414652	-70.565	91.948	0.695	0.850	0.539	0.989	4
497	130260399	43.420133	85.533	-87.060	0.865	0.882	0.848	0.994	6
498	130359942	43.453314	-147.544	127.688	0.769	0.830	0.707	0.991	5
499	130380368	43.460123	-97.446	-92.559	0.678	0.705	0.652	0.969	5
500	130387429	43.462476	-137.463	123.412	0.868	0.892	0.844	0.992	8
501	130409953	43.469984	-115.775	113.331	0.863	0.901	0.825	0.994	9
502	130605430	43.535143	-136.241	94.391	0.884	0.886	0.882	0.993	8
503	130634453	43.544818	-164.956	172.898	0.584	0.564	0.604	0.993	5
504	130770692	43.590231	-113.331	100.501	0.878	0.903	0.853	0.980	9
505	130812468	43.604156	-125.855	126.466	0.846	0.863	0.829	0.994	7
506	130876750	43.625583	-95.308	-92.253	0.623	0.699	0.547	0.991	3
507	130926493	43.642164	115.775	-122.495	0.856	0.836	0.875	0.994	9
508	131075048	43.691683	-97.752	-96.530	0.533	0.633	0.432	0.992	2
509	131135430	43.711810	-23.827	-36.351	0.874	0.879	0.868	0.991	10
510	131161276	43.720425	-214.748	233.382	0.709	0.679	0.739	0.719	3
511	131193163	43.731054	-55.902	-45.516	0.681	0.741	0.620	0.993	4
512	131208734	43.736245	-121.273	136.241	0.747	0.861	0.632	0.990	9
513	131253834	43.751278	-110.887	109.054	0.736	0.838	0.634	0.993	7
514	131289296	43.763099	-68.121	-65.371	0.794	0.831	0.758	0.981	8
515	131303935	43.767978	-215.359	233.993	0.796	0.789	0.804	0.994	6
516	131305137	43.768379	-109.054	126.772	0.654	0.777	0.531	0.986	2
517	131308820	43.769607	24.438	-24.743	0.851	0.830	0.871	0.994	7
518	131324072	43.774691	-151.821	175.648	0.662	0.768	0.557	0.980	6
519	131329415	43.776472	-10.692	-9.470	0.866	0.870	0.861	0.905	10
520	131336765	43.778922	-167.094	182.368	0.554	0.462	0.646	0.986	2
521	131354083	43.784694	-177.480	178.091	0.528	0.439	0.617	0.982	2
522	131374121	43.791374	-65.371	233.688	0.701	0.754	0.649	0.963	4
523	131394621	43.798207	-80.645	-73.314	0.775	0.831	0.719	0.985	4
524	131421992	43.807331	-16.496	-15.579	0.869	0.871	0.867	0.975	9
525	131472482	43.824161	-181.452	185.117	0.512	0.463	0.560	0.988	7
526	131478989	43.826330	-198.253	175.342	0.732	0.710	0.755	0.988	9
527	131481579	43.827193	84.311	-105.083	0.782	0.807	0.756	0.977	2
528	131520891	43.840297	-155.792	180.535	0.627	0.604	0.651	0.967	2
529	131544231	43.848077	-157.625	176.870	0.710	0.782	0.638	0.990	5
530	131560629	43.853543	-138.991	90.115	0.815	0.870	0.761	0.993	2
531	131573599	43.857866	-95.613	-79.729	0.724	0.873	0.575	0.994	2
532	131582997	43.860999	-166.178	184.201	0.718	0.722	0.715	0.967	7
533	131588563	43.862854	-101.417	8.859	0.742	0.827	0.656	0.985	2
534	131599768	43.866589	87.977	-110.276	0.851	0.862	0.840	0.986	6
535	131603863	43.867954	-56.818	-57.429	0.670	0.660	0.681	0.991	7
536	131609164	43.869721	-149.071	172.287	0.725	0.746	0.704	0.987	8
537	131612879	43.870960	38.184	-28.715	0.821	0.768	0.874	0.990	3
538	131615423	43.871808	-108.138	109.665	0.812	0.855	0.770	0.992	6
539	131624211	43.874737	3.666	-40.934	0.754	0.711	0.798	0.983	4
540	131633835	43.877945	-105.694	7.637	0.707	0.818	0.597	0.982	3
541	131639776	43.879925	120.357	-120.051	0.700	0.523	0.878	0.993	3
542	131644896	43.881632	-34.519	-60.484	0.894	0.897	0.891	0.981	9
543	131667517	43.889172	-118.829	127.688	0.830	0.870	0.790	0.988	9
544	131692771	43.897590	-31.464	11.913	0.892	0.940	0.845	0.994	9
545	131699461	43.899820	-40.323	-65.371	0.667	0.482	0.851	0.939	3
546	131718596	43.906199	-73.619	-68.121	0.778	0.877	0.679	0.920	3
547	131719549	43.906516	124.328	-116.997	0.851	0.803	0.898	0.991	9
548	131734282	43.911427	-153.959	110.582	0.542	0.639	0.446	0.991	3
549	131743279	43.914426	-33.908	-65.371	0.862	0.834	0.890	0.990	7
550	131769788	43.923263	-28.104	-27.798	0.814	0.809	0.819	0.989	7
551	131800537	43.933512	-65.371	-30.853	0.808	0.935	0.682	0.991	4
552	131844119	43.948040	-213.832	233.993	0.706	0.702	0.710	0.964	2
553	131872872	43.957624	41.544	-21.689	0.831	0.783	0.879	0.992	4
554	131883027	43.961009	-48.570	-58.957	0.814	0.826	0.801	0.962	2
555	131888952	43.962984	31.464	-26.576	0.871	0.857	0.885	0.994	10
556	131894294	43.964765	-62.928	-71.175	0.772	0.681	0.863	0.983	6
557	131901958	43.967319	-50.709	-70.259	0.750	0.639	0.860	0.940	4
558	131905036	43.968345	-37.879	-66.593	0.659	0.575	0.742	0.957	3
559	131909381	43.969794	-48.570	-67.510	0.864	0.837	0.892	0.974	4
